Title,Price,Area,Location
Bradfield - House,"$90,000",431 m²,bulawayo south
Killarney - House,"$130,000",4059 m²,bulawayo east
Victoria Falls - House,"$550,000",4000 m²,victoria falls
Zengeza - House,"$22,000",230 m²,chitungwiza
Arcadia - House,"$75,000",772 m²,harare south
Ruwa - House,"$58,000",2300 m²,ruwa
Westgate - House,"$65,000",1000 m²,harare west
Ilanda - House,"$170,000",2 bathrooms,bulawayo east
Madokero - House,"$55,000",405 m²,harare west
Eastlea - House,"$220,000",1000 m²,harare east
Ruwa - House,"$65,000",2318 m²,ruwa
Marimba Park - House,"$50,000",890 m²,harare high density
Cowdray Park - House,"$30,000",200 m²,bulawayo high density
Norton - House,"$69,000",2000 m²,norton
Upper Hillside - House,"$190,000",2200 m²,harare east
Mkoba - House,"$30,000",200 m²,gweru
Mandara - House,"$210,000",4085 m²,harare east
Greystone Park - House,"$280,000",4500 m²,harare north
Cowdray Park - House,"$12,000",200 m²,bulawayo high density
Nkwisi Gardens - House,"$65,000",400 m²,harare west
"Marlborough - House, Townhouse Complex","$1,100,000",8239 m²,harare west
Milibizi - House,"$70,000",1 bathrooms,kariba
"Norton - House, House","$95,000",6210 m²,norton
Mount Pleasant Heights - House,"$220,000",2000 m²,harare north
Hatfield - House,"$95,000",4060 m²,harare south
Suburbs - House,"$500,000",2 bathrooms,bulawayo east
Burnside - House,"$280,000",8069 m²,bulawayo east
Zimre Park - House,"$107,000",1600 m²,harare east
Tynwald - House,"$100,000",400 m²,harare west
"Old Windsor - House, Townhouse Complex","$110,000",2000 m²,ruwa
Waterfalls - House,"$78,000",650 m²,harare south
Msasa Park - House,"$90,000",629 m²,harare south
Colne Valley - House,"$1,100,000",4000 m²,harare north
Bellevue - House,"$75,000",5948 m²,bulawayo south
Glen Norah - House,"$55,000",300 m²,harare high density
Glen View - House,"$48,000",257 m²,harare high density
New Marlborough - House,"$80,000",712 m²,harare west
Whitecliff - House,"$140,000",2400 m²,harare west
Pelandaba - House,"$25,000",400 m²,bulawayo high density
Rockview - House,"$37,500",1050 m²,harare east
Norton - House,"$60,000",2200 m²,norton
Philadelphia - House,"$250,000",8700 m²,harare north
Hillside - House,"$180,000",4047 m²,bulawayo south
Borrowdale - House,"$1,100,000",4000 m²,harare north
Cold Comfort - House,"$54,000",500 m²,harare west
Dzivarasekwa - House,"$38,000",380 m²,harare high density
Beitbridge - House,"$32,000",300 m²,beitbridge
Chinhoyi - House,"$85,000",2500 m²,chinhoyi
Burnside - House,"$150,000",4121 m²,bulawayo east
Mainway Meadows - House,"$55,000",480 m²,harare south
Zimre Park - House,"$65,000",488 m²,harare east
Ruwa - House,"$34,000",348 m²,ruwa
Helensvale - House,"$1,500,000",15112 m²,harare north
Sentosa - House,"$200,000",4000 m²,harare west
Morningside - House,"$115,000",1590 m²,bulawayo south
Mabelreign - House,"$120,000",894 m²,harare west
Avondale West - House,"$130,000",1100 m²,harare west
Borrowdale - House,"$400,000",3000 m²,harare north
Hillside - House,"$164,000",2578 m²,bulawayo south
Msasa Park - House,"$69,000",1449 m²,kwekwe
Southview Park - House,"$52,000",240 m²,harare south
Ruwa - House,"$87,000",449 m²,ruwa
"Mount Pleasant - House, Townhouse Complex","$295,000",1300 m²,harare north
Madokero - House,"$105,000",400 m²,harare west
"Hillside - House, Townhouse Complex","$69,000",1 bathrooms,bulawayo south
"Hatfield - House, Townhouse Complex","$121,000",250 m²,harare south
Mount Pleasant Heights - House,"$200,000",2152 m²,harare north
"Bluff Hill - House, Townhouse Complex","$190,000",500 m²,harare west
Cold Comfort - House,"$80,000",475 m²,harare west
Rolf Valley - House,"$370,000",4047 m²,harare north
Ruwa - House,"$55,000",612 m²,ruwa
Waterfalls - House,"$135,000",5000 m²,harare south
Greendale - House,"$230,000",2167 m²,harare east
Mount Pleasant Heights - House,"$210,000",1801 m²,harare north
"Riverside North - House, Townhouse Complex","$330,000",8000 m²,bulawayo east
"Victoria Falls - Townhouse Complex, House","$275,000",244 m²,victoria falls
Zimre Park - House,"$63,000",2130 m²,harare east
Glen View - House,"$45,000",332 m²,harare high density
Matsheumhlope - House,"$230,000",8094 m²,bulawayo east
Helensvale - House,"$310,000",4080 m²,harare north
Newlands - House,"$550,000",4046 m²,harare north
Ruwa - House,"$48,000",400 m²,ruwa
Aspindale Park - House,"$65,000",320 m²,harare west
Matsheumhlope - House,"$100,000",3000 m²,bulawayo east
Mabvuku - House,"$23,000",250 m²,harare high density
Highmount - House,"$100,000",3653 m²,bulawayo north
Newlands - House,"$380,000",2800 m²,harare north
Chitungwiza - House,"$26,000",200 m²,chitungwiza
"Helensvale - House, Townhouse Complex","$330,000",2 bathrooms,harare north
Kariba - House,"$70,000",1000 m²,kariba
Borrowdale - House,"$125,000",700 m²,harare north
"Haydon Park - House, Townhouse Complex","$70,000",1631 m²,harare west
Msasa Park - House,"$80,000",450 m²,harare south
Borrowdale Brooke - House,"$1,000,000",2300 m²,harare north
Chinhoyi - House,"$35,000",300 m²,chinhoyi
"Mandara - House, Townhouse Complex","$270,000",2000 m²,harare east
Matidoda - House,"$78,000",500 m²,harare west
Bindura - House,"$75,000",600 m²,bindura
Chitungwiza - House,"$25,000",200 m²,chitungwiza
Mbizo - House,"$14,000",150 m²,kwekwe
Barbour Fields - House,"$35,000",1 m²,bulawayo high density
Burnside - House,"$350,000",20235 m²,bulawayo east
"Marlborough - House, Townhouse Complex","$110,000",2 bathrooms,harare west
Mainway Meadows - House,"$105,000",600 m²,harare south
Ridgeview - House,"$290,000",1800 m²,harare west
Riverside South - House,"$280,000",1 bathrooms,bulawayo east
Crowborough - House,"$65,000",500 m²,harare high density
Colne Valley - House,"$1,100,000",4000 m²,harare north
Rydale Ridge - House,"$45,000",300 m²,harare high density
Chitungwiza - House,"$45,000",568 m²,chitungwiza
"Victoria Falls - House, Townhouse Complex","$26,000",300 bedrooms,victoria falls
Cranborne - House,"$80,000",714 m²,harare south
Borrowdale - House,"$550,000",4382 m²,harare north
Mandara - House,"$225,000",4816 m²,harare east
Mabvuku - House,"$30,000",132 m²,harare high density
Shawasha Hills - House,"$980,000",10900 m²,harare north
Helensvale - House,"$380,000",6000 m²,harare north
"Matsheumhlope - House, Townhouse Complex","$90,000",1 bathrooms,bulawayo east
Bindura - House,"$20,000",250 m²,bindura
Athlone - House,"$85,000",1761 m²,gweru
Hogerty Hill - House,"$350,000",8757 m²,harare north
Chirundu - House,"$90,000",2797 m²,chirundu
Ruwa - House,"$75,000",1000 m²,ruwa
Suburbs - House,"$200,000",744 m²,bulawayo east
Chitungwiza - House,"$23,000",270 m²,chitungwiza
Arlington - House,"$128,000",365 m²,harare south
Zimre Park - House,"$130,000",1046 m²,harare east
Greendale - House,"$210,000",2200 m²,harare east
Avondale - The Ridge - House,"$750,000",4049 m²,harare west
Chitungwiza - House,"$30,000",300 m²,chitungwiza
Belvedere - House,"$175,000",1574 m²,harare west
Ruwa - House,"$60,000",400 m²,ruwa
Waterfalls - House,"$120,000",2200 m²,harare south
Cold Comfort - House,"$75,000",500 m²,harare west
Famona - House,"$90,000",2 bathrooms,bulawayo south
"Victoria Falls - House, Townhouse Complex","$265,000",244 m²,victoria falls
Greendale - House,"$220,000",2050 m²,harare east
Greendale - House,"$305,000",3500 m²,harare east
Waterfalls - House,"$120,000",4000 m²,harare south
Strathaven - House,"$165,000",2100 m²,harare west
Emerald Hill - House,"$260,000",4277 m²,harare west
Aspindale Park - House,"$65,000",200 m²,harare west
Meyrick Park - House,"$90,000",1 bathrooms,harare west
Helensvale - House,"$498,000",4046 m²,harare north
Burnside - House,"$485,000",4044 m²,bulawayo east
Borrowdale - House,"$680,000",4067 m²,harare north
"Arlington - House, Townhouse Complex","$380,000",2549 m²,harare south
Mount Pleasant Heights - House,"$225,000",2477 m²,harare north
Rydale Ridge - House,"$35,000",702 m²,harare high density
Dzivarasekwa - House,"$28,000",200 m²,harare high density
Strathaven - House,"$200,000",1000 m²,harare west
Philadelphia - House,"$250,000",2100 m²,harare north
Houghton Park - House,"$70,000",540 m²,harare south
Parktown - House,"$80,000",1000 m²,harare south
"Mount Pleasant - House, Townhouse Complex","$280,000",4000 m²,harare north
Gletwin Park - House,"$1,750,000",4700 m²,harare north
Ruwa - House,"$280,000",32376 m²,ruwa
Budiriro - House,"$36,000",341 m²,harare high density
Southview Park - House,"$49,000",240 m²,harare south
Marlborough - House,"$95,000",400 m²,harare west
Southview Park - House,"$70,000",500 m²,harare south
Kuwadzana - House,"$38,000",300 m²,harare high density
Chitungwiza - House,"$16,000",300 m²,chitungwiza
Emerald Hill - House,"$280,000",2700 m²,harare west
Bindura - House,"$45,000",200 m²,bindura
New Marlborough - House,"$60,000",500 m²,harare west
Marimba Park - House,"$90,000",800 m²,harare high density
Goodhope - House,"$150,000",3200 m²,harare west
Cold Comfort - House,"$85,000",400 m²,harare west
Upper Hillside - House,"$160,000",1249 m²,harare east
Houghton Park - House,"$85,000",644 m²,harare south
Crowborough - House,"$40,000",200 m²,harare high density
Alexandra Park - House,"$450,000",3500 m²,harare north
Avondale - The Ridge - House,"$950,000",4186 m²,harare west
Msuna - House,"$50,000",1 bathrooms,msuna
Manresa - House,"$210,000",2000 m²,harare east
Dawnview Park - House,"$55,000",200 m²,harare west
Greystone Park - House,"$850,000",4047 m²,harare north
Ardbennie - House,"$65,000",500 m²,harare south
Kadoma - House,"$250,000",4237 m²,kadoma
Upper Rangemore - House,"$185,000",3 bedrooms,bulawayo high density
Arcadia - House,"$85,000",750 m²,harare south
Glen Norah - House,"$35,000",300 m²,harare high density
Chitungwiza - House,"$32,000",300 m²,chitungwiza
Crowborough - House,"$45,000",200 m²,harare high density
Kambuzuma - House,"$30,000",200 m²,harare high density
Greystone Park - House,"$350,000",2180 m²,harare north
Colne Valley - House,"$950,000",4047 m²,harare north
Bindura - House,"$18,000",200 m²,bindura
Chirundu - House,"$20,000",3000 m²,chirundu
St. Marys - House,"$20,000",300 m²,chitungwiza
Ruwa - House,"$63,000",350 m²,ruwa
Hatfield - House,"$250,000",11200 m²,harare south
"Bluff Hill - House, Townhouse Complex","$120,000",400 m²,harare west
Southview Park - House,"$55,000",240 m²,harare south
Banket - House,"$60,000",2700 m²,banket
Hatfield - House,"$130,000",4133 m²,harare south
Crowhill Views - House,"$55,000",2700 m²,harare north
Sentosa - House,"$110,000",1000 m²,harare west
Zimre Park - House,"$60,000",500 m²,harare east
"Waterfalls - House, House","$125,000",6400 m²,harare south
Madokero - House,"$120,000",400 m²,harare west
Greendale - House,"$190,000",2050 m²,harare east
Highfield - House,"$45,000",2 bedrooms,harare high density
Famona - House,"$230,000",1 bathrooms,bulawayo south
Charlotte Brooke - House,"$75,000",1000 m²,harare north
Glaudina - House,"$85,000",350 m²,harare west
"Marlborough - House, Townhouse Complex","$150,000",2 bathrooms,harare west
Mkoba - House,"$18,000",300 m²,gweru
Beitbridge - House,"$110,000",2964 m²,beitbridge
Southview Park - House,"$58,000",230 m²,harare south
Mount Pleasant Heights - House,"$260,000",2000 m²,harare north
Windsor Park - House,"$130,000",2934 m²,ruwa
Mbizo - House,"$25,000",300 m²,kwekwe
Highlands - House,"$300,000",3100 m²,harare north
Greystone Park - House,"$265,000",4100 m²,harare north
Prospect - House,"$75,000",650 m²,harare south
Strathaven - House,"$165,000",2000 m²,harare west
Burnside - House,"$125,000",4046 m²,bulawayo east
Zimre Park - House,"$70,000",3 bedrooms,harare east
"Hatfield - House, Townhouse Complex","$100,000",1000 m²,harare south
Northwood - House,"$365,000",4047 m²,harare north
Southview Park - House,"$55,000",240 m²,harare south
Matsheumhlope - House,"$120,000",1 m²,bulawayo east
Highlands - House,"$420,000",5000 m²,harare north
Nketa - House,"$28,000",300 m²,bulawayo high density
Kensington - House,"$280,000",1 bathrooms,bulawayo east
Mandara - House,"$550,000",5735 m²,harare east
Paddonhurst - House,"$65,000",1 bathrooms,bulawayo north
Hogerty Hill - House,"$230,000",4 bedrooms,harare north
Madokero - House,"$115,000",407 m²,harare west
Hogerty Hill - House,"$160,000",700 m²,harare north
Banket - House,"$23,000",300 m²,banket
Ruwa - House,"$68,000",350 m²,ruwa
Chitungwiza - House,"$35,000",300 m²,chitungwiza
Mount Pleasant - House,"$465,000",4342 m²,harare north
Chegutu - House,"$25,000",300 m²,chegutu
Chitungwiza - House,"$28,000",200 m²,chitungwiza
Killarney - House,"$120,000",4000 m²,bulawayo east
"Riverside South - House, Townhouse Complex","$330,000",2379 m²,bulawayo east
Norton - House,"$95,000",2100 m²,norton
Southview Park - House,"$50,000",200 m²,harare south
"Arlington - House, Townhouse Complex","$130,000",500 m²,harare south
Warren Park - House,"$50,000",300 m²,harare high density
Tynwald - House,"$100,000",500 m²,harare west
Madokero - House,"$120,000",400 m²,harare west
Ruwa - House,"$47,000",120 m²,ruwa
Kensington - House,"$106,000",17000 m²,bulawayo east
Kumalo - House,"$230,000",1 m²,bulawayo east
Northwood - House,"$320,000",4052 m²,harare north
Highfield - House,"$28,000",300 m²,harare high density
Glen Lorne - House,"$1,200,000",3 bathrooms,harare north
Waterfalls - House,"$140,000",4149 m²,harare south
Borrowdale - House,"$750,000",4111 m²,harare north
Rockview - House,"$105,000",1000 m²,harare east
Upper Hillside - House,"$170,000",1500 m²,harare east
Chitungwiza - House,"$35,000",300 m²,chitungwiza
Ruwa - House,"$75,000",1326 m²,ruwa
Chitungwiza - House,"$28,000",200 m²,chitungwiza
Vainona - House,"$400,000",2200 m²,harare north
Cold Comfort - House,"$90,000",2753 m²,harare west
Marlborough - House,"$1,280,000",8240 m²,harare west
Greendale - House,"$150,000",550 m²,harare east
Haydon Park - House,"$75,000",1200 m²,harare west
Goodhope - House,"$200,000",2360 m²,harare west
Glen View - House,"$24,500",348 m²,harare high density
Gletwin Park - House,"$950,000",8800 m²,harare north
Zimre Park - House,"$65,000",500 m²,harare east
Pumula - House,"$27,000",200 m²,bulawayo high density
Crowhill Views - House,"$90,000",1000 m²,harare north
Mpopoma - House,"$24,000",300 m²,bulawayo high density
Glen Norah - House,"$24,500",300 m²,harare high density
Zimre Park - House,"$27,000",800 m²,harare east
Ashdown Park - House,"$48,000",560 m²,harare west
Glen Lorne - House,"$750,000",31000 m²,harare north
Kambanji - House,"$800,000",4000 m²,harare north
Borrowdale Brooke - House,"$650,000",13865 m²,harare north
Helensvale - House,"$420,000",1927 m²,harare north
Mt Pleasant Heights - House,"$215,000",1800 m²,harare west
"Arlington - House, Townhouse Complex","$135,000",560 m²,harare south
Greendale North - House,"$320,000",4047 m²,harare north
Glen View - House,"$26,000",300 m²,harare high density
Tynwald - House,"$58,000",300 m²,harare west
Haig Park - House,"$145,000",1700 m²,harare west
"Avondale West - House, Townhouse Complex, House, Townhouse Complex","$180,000",2 bedrooms,harare west
"Marondera - House, House","$100,000",3272 m²,marondera
"Highlands - House, Townhouse Complex","$295,000",2 bathrooms,harare north
Chitungwiza - House,"$25,000",200 m²,chitungwiza
Arlington - House,"$120,000",342 m²,harare south
"Marlborough - House, Townhouse Complex","$200,000",400 m²,harare west
Marondera - House,"$65,000",2000 m²,marondera
"Haydon Park - House, Townhouse Complex","$70,000",1631 m²,harare west
Adylinn - House,"$90,000",932 m²,harare west
Mvurwi - House,"$17,000",300 m²,mvurwi
Quinnington - House,"$990,000",4664 m²,harare north
Westlea - House,"$80,000",700 m²,harare west
Mabelreign - House,"$100,000",960 m²,harare west
Mount Pleasant - House,"$300,000",4047 m²,harare north
"Borrowdale - House, Townhouse Complex","$600,000",2 bathrooms,harare north
Mambo - House,"$15,000",2 bedrooms,gweru
Goodhope - House,"$195,000",2600 m²,harare west
Cranborne - House,"$100,000",750 m²,harare south
Matsheumhlope - House,"$145,000",4027 m²,bulawayo east
Kingsdale - House,"$65,000",3000 m²,bulawayo north
Chitungwiza - House,"$37,000",300 m²,chitungwiza
Tynwald - House,"$62,846",18000 m²,harare west
Matsheumhlope - House,"$150,000",1000 m²,bulawayo east
Cotswold Hills - House,"$158,000",1011 m²,harare west
Greendale - House,"$240,000",2300 m²,harare east
Marlborough - House,"$1,000,000",8239 m²,harare west
Ruwa - House,"$50,000",500 m²,ruwa
Kumalo - House,"$160,000",2718 m²,bulawayo east
Palm Erston - House,"$45,000",320 m²,mutare
Westgate - House,"$155,000",1000 m²,harare west
Zengeza - House,"$32,000",460 m²,chitungwiza
Newtown - House,"$250,000",3500 m²,kwekwe
Waterfalls - House,"$110,000",3800 m²,harare south
Madokero - House,"$90,000",475 m²,harare west
"Arlington - House, Townhouse Complex","$135,000",460 m²,harare south
Selbourne Park - House,"$80,000",1 m²,bulawayo east
Northend - House,"$55,000",1685 m²,bulawayo north
"Chisipite - House, Townhouse Complex","$550,000",2 bathrooms,harare north
Budiriro - House,"$25,000",300 m²,harare high density
Mabelreign - House,"$90,000",900 m²,harare west
Kumalo - House,"$170,000",2465 m²,bulawayo east
Borrowdale - House,"$350,000",4111 m²,harare north
"Aspindale Park - House, Townhouse Complex","$70,000",200 m²,harare west
Norton - House,"$95,000",2000 m²,norton
Hillside - House,"$90,000",1385 m²,bulawayo south
Glen Lorne - House,"$300,000",4110 m²,harare north
Haydon Park - House,"$91,000",808 m²,harare west
Budiriro - House,"$23,500",320 m²,harare high density
Westlea - House,"$190,000",700 m²,harare west
Mandara - House,"$230,000",2000 m²,harare east
Ruwa - House,"$55,000",490 m²,ruwa
Snake Park - House,"$75,000",2 bathrooms,harare high density
Tiger's Kloof - House,"$245,000",2717 m²,mutare
Aspindale Park - House,"$55,000",200 m²,harare west
Park Meadowlands - House,"$140,000",3860 m²,harare south
Glen View - House,"$37,000",300 m²,harare high density
Gletwin Park - House,"$350,000",2100 m²,harare north
"Mandara - House, Townhouse Complex","$270,000",2000 m²,harare east
Glen Lorne - House,"$195,000",4000 m²,harare north
Waterfalls - House,"$85,000",1000 m²,harare south
Richmond - House,"$99,000",9648 m²,bulawayo north
Norton - House,"$45,000",2450 m²,norton
Tynwald - House,"$75,000",400 m²,harare west
Houghton Park - House,"$100,000",1000 m²,harare south
Glen Norah - House,"$36,000",300 m²,harare high density
Borrowdale - House,"$192,000",4 bedrooms,harare north
Braeside - House,"$135,000",900 m²,harare south
Kumalo - House,"$199,000",2758 m²,bulawayo east
Sandton Park - House,"$89,500",1000 m²,harare west
"Ruwa - House, House","$43,000",400 m²,ruwa
Zimre Park - House,"$117,000",1671 m²,harare east
Whitecliff - House,"$60,000",2000 m²,harare west
Glen Norah - House,"$50,000",300 m²,harare high density
Madokero - House,"$70,000",450 m²,harare west
Kumalo - House,"$300,000",2693 m²,bulawayo east
Killarney - House,"$140,000",3 bathrooms,bulawayo east
Redcliff - House,"$75,000",2144 m²,redcliff
Glen Lorne - House,"$840,000",4000 m²,harare north
Mount Pleasant - House,"$475,000",3518 m²,harare north
Norton - House,"$55,000",2010 m²,norton
Luveve - House,"$35,000",1 m²,bulawayo high density
Borrowdale - House,"$285,000",2000 m²,harare north
Gletwin Park - House,"$950,000",10587 m²,harare north
Ballantyne Park - House,"$580,000",4020 m²,harare north
Greystone Park - House,"$794,000",4047 m²,harare north
Ruwa - House,"$61,000",400 m²,ruwa
Mt Pleasant Heights - House,"$150,000",200 m²,harare west
Norton - House,"$50,000",588 m²,norton
Shawasha Hills - House,"$250,000",2000 m²,harare north
Mainway Meadows - House,"$80,000",500 m²,harare south
Murambi - House,"$250,000",2800 m²,mutare
Norton - House,"$65,000",1500 m²,norton
Waterfalls - House,"$32,000",200 m²,harare south
Bluff Hill - House,"$247,000",3754 m²,harare west
Norton - House,"$80,000",2000 m²,norton
Hillside - House,"$165,000",2578 m²,bulawayo south
Mt Pleasant Heights - House,"$210,000",1980 m²,harare west
Avondale - The Ridge - House,"$650,000",4000 m²,harare west
Glen Lorne - House,"$350,000",4500 m²,harare north
Mt Pleasant Heights - House,"$200,000",2000 m²,harare west
Ballantyne Park - House,"$580,000",4000 m²,harare north
Seke - House,"$18,000",200 m²,seke
Zimre Park - House,"$85,000",650 m²,harare east
Msasa Park - House,"$75,000",1200 m²,harare south
Kambanji - House,"$350,000",4075 m²,harare north
Windsor Park - House,"$69,000",1472 m²,ruwa
Glen View - House,"$35,000",300 m²,harare high density
Glaudina - House,"$68,000",358 m²,harare west
"Marlborough - House, House","$185,000",3300 m²,harare west
Mbare - House,"$38,000",200 m²,harare high density
Eastlea - House,"$200,000",1200 m²,harare east
"Arlington - House, Townhouse Complex","$140,000",560 m²,harare south
Windsor Park - House,"$105,000",1200 m²,ruwa
Kuwadzana - House,"$27,000",130 m²,harare high density
Philadelphia - House,"$370,000",4036 m²,harare north
KweKwe - House,"$80,000",4408 m²,kwekwe
Burnside - House,"$350,000",20235 m²,bulawayo east
Warren Park - House,"$55,000",204 m²,harare high density
Bulawayo City Centre - House,"$160,000",1190 m²,bulawayo cbd industrial
Eastlea - House,"$260,000",2477 m²,harare east
Penhalonga - House,"$40,000",4 bedrooms,mutare
"Greendale - House, Townhouse Complex","$200,000",4000 m²,harare east
Murambi - House,"$480,000",6939 m²,mutare
Raffingora - House,"$155,000",9234 m²,raffingora
Philadelphia - House,"$240,000",4000 m²,harare north
Glen Norah - House,"$40,000",240 m²,harare high density
Sentosa - House,"$120,000",1836 m²,harare west
"Greendale - House, Townhouse Complex","$197,000",504 m²,harare east
Eastlea - House,"$170,000",1900 m²,harare east
Dzivarasekwa - House,"$10,000",200 m²,harare high density
Suburbs - House,"$500,000",2 bathrooms,bulawayo east
"Greystone Park - House, Townhouse Complex","$110,000",2 bathrooms,harare north
Fairview - House,"$65,000",1500 m²,harare west
Ruwa - House,"$129,000",2401 m²,ruwa
Norton - House,"$70,000",2100 m²,norton
Chitungwiza - House,"$22,000",200 m²,chitungwiza
Warren Park - House,"$48,000",200 m²,harare high density
"Hatfield - House, Townhouse Complex","$121,000",500 m²,harare south
New Marlborough - House,"$180,000",2000 m²,harare west
"Avondale - House, Townhouse Complex, House, Townhouse Complex","$185,000",2 bathrooms,harare north
Manyame Park - House,"$40,000",200 m²,chitungwiza
"Ballantyne Park - House, Townhouse Complex","$950,000",1000 m²,harare north
Parklands - House,"$110,000",2000 m²,bulawayo east
Kambuzuma - House,"$30,000",260 m²,harare high density
Marlborough - House,"$350,000",4500 m²,harare west
Damofalls - House,"$50,000",300 m²,damofalls
Eastlea - House,"$135,000",980 m²,harare east
Goodhope - House,"$185,000",3000 m²,harare west
Norton - House,"$38,000",1500 m²,norton
Rolf Valley - House,"$1,350,000",8975 m²,harare north
Damofalls - House,"$50,000",1 m²,damofalls
Chicago - House,"$180,000",5000 m²,kwekwe
Mufakose - House,"$22,000",300 m²,harare high density
Fitchlea - House,"$90,000",1487 m²,kwekwe
Zimre Park - House,"$110,000",512 m²,harare east
Adelaide Park - House,"$175,000",1200 m²,gweru
Chisipite - House,"$835,000",4195 m²,harare north
Dzivarasekwa - House,"$38,000",300 m²,harare high density
Glen View - House,"$27,000",200 m²,harare high density
Mahatshula - House,"$60,000",600 m²,bulawayo north
Greendale - House,"$75,000",2000 m²,harare east
Kumalo - House,"$200,000",2573 m²,bulawayo east
Budiriro - House,"$28,000",200 m²,harare high density
Waterfalls - House,"$90,000",500 m²,harare south
Zengeza - House,"$35,000",250 m²,chitungwiza
Manresa - House,"$120,000",3816 m²,harare east
Mainway Meadows - House,"$100,000",678 m²,harare south
Tafara - House,"$26,000",533 m²,harare high density
Tafara - House,"$50,000",211 m²,harare high density
Cranborne - House,"$125,000",715 m²,harare south
"Burnside - House, House","$750,000",4000 m²,bulawayo east
"Aspindale Park - House, Townhouse Complex","$60,000",10000 m²,harare west
Glen View - House,"$65,000",300 m²,harare high density
Mount Pleasant Heights - House,"$200,000",2000 m²,harare north
Ruwa - House,"$48,000",400 m²,ruwa
Gletwin Park - House,"$280,000",2000 m²,harare north
Ruwa - House,"$40,000",750 m²,ruwa
Southview Park - House,"$27,000",300 m²,harare south
Montrose - House,"$80,000",1000 m²,bulawayo south
Burnside - House,"$68,000",4000 m²,bulawayo east
Zengeza - House,"$15,000",200 m²,chitungwiza
Chinhoyi - House,"$85,000",2459 m²,chinhoyi
Kumalo - House,"$250,000",1 bathrooms,bulawayo east
Tynwald - House,"$58,000",322 m²,harare west
Glen Lorne - House,"$550,000",9450 m²,harare north
Highfield - House,"$28,000",250 m²,harare high density
Pomona - House,"$225,000",2000 m²,harare north
Chadcombe - House,"$150,000",4200 m²,harare south
Eastvale - House,"$100,000",1468 m²,masvingo
Bluff Hill - House,"$50,000",300 m²,harare west
Waterfalls - House,"$350,000",19274 m²,harare south
Victoria Falls - House,"$80,000",772 m²,victoria falls
Msasa - House,"$70,000",400 m²,harare east
Budiriro - House,"$25,500",320 m²,harare high density
"Hume Park - House, Townhouse Complex","$80,000",4272 m²,bulawayo east
Milton Park - House,"$230,000",1500 m²,harare west
Waterfalls - House,"$130,000",5586 m²,harare south
Manyame Park - House,"$30,000",200 m²,chitungwiza
Murambi - House,"$270,000",4590 m²,mutare
"Greendale - House, Townhouse Complex","$180,000",2000 m²,harare east
Philadelphia - House,"$260,000",4151 m²,harare north
Waterfalls - House,"$160,000",2200 m²,harare south
Shawasha Hills - House,"$360,000",2000 m²,harare north
Waterfalls - House,"$165,000",2200 m²,harare south
Glen Norah - House,"$53,000",367 m²,harare high density
Madokero - House,"$65,000",350 m²,harare west
Bindura - House,"$26,000",200 m²,bindura
Killarney - House,"$110,000",8090 m²,bulawayo east
Budiriro - House,"$18,000",300 m²,harare high density
Shawasha Hills - House,"$400,000",2100 m²,harare north
Mount Pleasant - House,"$300,000",4400 m²,harare north
"Marlborough - House, Townhouse Complex, House, Townhouse Complex","$199,999",4000 m²,harare west
Mount Pleasant Heights - House,"$200,000",2152 m²,harare north
Chitungwiza - House,"$30,000",280 m²,chitungwiza
Damofalls - House,"$45,000",500 m²,damofalls
Gunhill - House,"$450,000",2000 m²,harare north
Ruwa - House,"$57,000",2318 m²,ruwa
Kopje - House,"$150,000",2171 m²,gweru
Southlea Park - House,"$16,000",200 m²,harare south
"Borrowdale - House, Townhouse Complex","$300,000",4000 m²,harare north
Crowhill Views - House,"$53,000",1700 m²,harare north
Budiriro - House,"$26,000",300 m²,harare high density
Chitungwiza - House,"$35,000",300 m²,chitungwiza
Warren Park - House,"$50,000",300 m²,harare high density
Msuna - House,"$85,000",2 bathrooms,msuna
Sandton Park - House,"$110,000",1401 m²,harare west
Suburbs - House,"$250,000",4 bedrooms,bulawayo east
Marlborough - House,"$165,000",2000 m²,harare west
"Hogerty Hill - House, Townhouse Complex","$190,000",7600 m²,harare north
Northgate - House,"$55,000",3100 m²,bulawayo north
Msasa Park - House,"$65,000",451 m²,harare south
Manyame Park - House,"$32,000",200 m²,chitungwiza
Borrowdale - House,"$750,000",4108 m²,harare north
Damofalls - House,"$55,000",300 m²,damofalls
Charlotte Brooke - House,"$50,000",1000 m²,harare north
"Strathaven - House, Townhouse Complex","$210,000",500 m²,harare west
Zengeza - House,"$25,000",450 m²,chitungwiza
Damofalls - House,"$37,000",200 m²,damofalls
Ashdown Park - House,"$135,000",1119 m²,harare west
Zimre Park - House,"$130,000",800 m²,harare east
Kadoma - House,"$13,000",300 m²,kadoma
Norton - House,"$30,000",241 m²,norton
Budiriro - House,"$33,000",300 m²,harare high density
Waterfalls - House,"$135,000",5100 m²,harare south
Budiriro - House,"$45,000",300 m²,harare high density
New Marlborough - House,"$140,000",2000 m²,harare west
Greendale - House,"$265,000",2300 m²,harare east
Mufakose - House,"$37,000",372 m²,harare high density
Pumula - House,"$28,000",250 m²,bulawayo high density
Mufakose - House,"$33,000",300 m²,harare high density
Mabelreign - House,"$130,000",1307 m²,harare west
Borrowdale - House,"$350,000",4072 m²,harare north
Rydale Ridge - House,"$26,000",300 m²,harare high density
Budiriro - House,"$45,000",282 m²,harare high density
